66292807	28908193	89976494	28608626	59728912
16382772	16764158	79824505	51723602	71665764
32864163	23569578	44663908	64900779	96854195
72112853	31950274	36547575	90036264	89625701
57351258	20971685	28269603	72815631	57591575
49223239	34136956	29034150	47459373	85887401
40008258	75015503	52268392	67309113	37701699
406107	77998476	42400688	26873346	2090084
94357518	25242792	93368202	40661300	80688722
26657173	31140488	45364811	93197102	25464151
70643977	2024590	92187781	9809478	31248332
63497655	41913779	52066873	27681916	37247894
12342794	90297493	89447528	17055237	97003844
41006513	83363802	41304519	20529916	51220371
72626515	86533346	84444365	22481419	17080324
17417620	80259766	18317279	48278458	20524907
67448585	69193585	38656503	12831019	70787793
40402600	45323611	79548213	51746404	66936755
73001892	24275162	16938434	20016875	2789959
16681983	10554137	41199840	65778008	80743049
49703216	59288922	88809677	77467911	59898316
72298673	48342698	79929613	89427360	27138328
38314467	17188245	25990382	29875165	27723536
82027759	35169193	40062617	76710109	63547158
35517257	42187638	54598573	43178854	10851143
52403372	6309147	536043	68527031	54325831
75950157	2024224	69949878	99266207	34153709
50317630	59442358	11959218	69123407	38910754
54697479	18561817	1086175	76981417	28970503
94663528	72027403	94754148	3253899	16439078
32490798	6688967	28947686	77647637	29265061
78442650	97246012	88748810	9107174	58130468
5884020	57327187	41116518	16063598	3271459
90441179	17699704	95754955	67003882	48040889
86795426	23876098	89207666	74835439	34341370
54277108	11573292	14043156	3502732	41680716
53288585	4536116	31166421	26496628	4901091
41490379	9983563	53663462	76524873	95639089
38098008	57703622	82064439	7448969	15290153
74688449	72269368	25845639	6051643	16963155
92198296	88121895	80510416	64452243	58285863
19671792	80557244	13724832	22701855	79649011
83337658	32088357	15780683	60431858	20949582
48801648	69418232	40963615	14805076	57281070
98093055	81053306	47221879	65045247	57738791
2139773	70022545	81896056	85854513	67868027
28373352	90094882	80449360	70329493	41407119
53817571	52493818	19542689	65066225	13063794
21926425	49313651	77424457	25917006	10880878
91481744	56273460	17278675	4512514	77922189
73230853	30875096	52041626	8870283	41493888
35905304	44208931	16523097	2781442	33856271
82677095	52330167	39222094	320186	69356040
43458000	11544085	93653340	98579468	28406671
94009855	17011585	2209405	87641030	20686204
94081389	29059683	91886946	34344746	97254961
64891407	4630915	32580595	35959581	87471022
58553663	12479589	40044514	54242206	88336780
91037726	6094417	52132585	49050406	35869031
65792985	74323851	44663508	21336405	58587298
30220054	77709911	56336255	96640651	53979092
78488216	89471924	34538179	11767510	61304510
81688496	40513580	5920378	59871798	59335804
97295250	4675743	38116338	69263801	29145467
70489526	8863172	47251600	3367468	54261845
87775710	39046247	69298289	82091279	57901684
71459999	57502828	91247525	96362218	12804311
26384268	80760641	50747981	24587237	13334504
26570603	42926064	87276891	77529431	55705068
49105868	93378177	68877235	11796688	61224368
28888245	71559932	32041481	44217438	25672416
13099795	97541275	62888484	27411584	65828622
79705679	66809449	30357645	62648773	24135694
53242442	32383818	36148326	30712710	62133892
46824281	51191280	33049596	40977914	81046906
68139878	81804394	5160267	17830285	64596962
72538408	10796649	44833075	12724395	4961693
60259466	57060054	62234254	44483010	19006735
1383293	11822043	1483612	78239014	25161160
21999403	81601145	77437902	40431176	43122900
72197053	43562666	86379796	55123195	72095185
613337	13074264	3734694	18645592	56803128
69484627	785340	69200688	54222679	25228787
87227980	7676288	66689913	53263919	7919038
25787789	59064676	47881242	28401085	76586688
24769505	29328088	74192269	37641808	88730970
94372409	17612073	74299437	29581898	52852445
84223140	49910788	6094094	51851179	11036352
46900516	75659928	85224674	87436184	21539305
75330625	21075867	85173474	5282756	66968733
58041362	53284088	53296419	32138893	97492380
72329819	52100370	27068495	39446741	35524820
76204833	83015921	5656684	446850	1652052
69264657	28726413	84931750	40089526	75970528
2722700	79762961	77047357	87736449	21641266
31734959	94282046	20392761	50551868	15076597
48410250	7912915	68008182	39319540	99820597
44833514	63416784	75098367	3971229	40356309
81864043	89320136	42056127	26157713	32146971
42764968	36791246	85278996	27250419	68898295
30867865	4213405	98717498	91377974	23052060
36431894	48165002	66631001	99996720	25079176
92916733	99740780	67913916	27508233	94136303
79336829	32238679	27539048	89464774	84566232
